TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.korpodrony.servlet.admin.ActivityServlet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25,639,0
com.korpodrony.servlet.admin.ActivityServlet,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25,639,0
com.korpodrony.validation.Validator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9699820788530467,192,180
com.korpodrony.validation.Validator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9520609318996416,193,175
