TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.fr.chain.utils.NumberUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.95647671733877,872,807
com.fr.chain.utils.NumberUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9608435295658444,871,814
